127.0.0.1 - - [18/Nov/2016:09:44:54 -0600] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Nov/2016:09:45:10 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [18/Nov/2016:09:46:38 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [18/Nov/2016:09:47:32 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:00:14 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:02:30 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:03:37 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:04:00 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:04:50 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:05:40 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:08:51 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:14:30 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:15:41 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:25:38 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:26:10 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:27:41 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:29:14 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:30:44 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:35:38 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:36:08 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/Nov/2016:10:41:56 -0600] "GET /WebTest/HeyWorld.jsp HTTP/1.1" 200 667
